server_0,server_1,server_2
48948,48947,48947
120285,120285,120285
193834,193834,193834
267770,267770,267769
341139,341139,341138
351173,438615,438614
351173,547884,547884
351173,660288,660287
351225,759649,759648
351225,888517,827123
351225,1014469,827123
429319,1109972,827123
485499,1206016,866987
485499,1308341,969311
545932,1383774,1044745
616119,1453962,1114932
689008,1526851,1187821
780468,1618310,1197437
838672,1716689,1237611
838672,1823342,1344265
838672,1938746,1459668
864627,2032965,1553887
932824,2101162,1622084
942331,2205013,1725935
942347,2315821,1836743
942347,2419589,1940512
942347,2525639,2046561
942347,2637707,2158629
942347,2746704,2267627
942347,2855970,2376893
976542,2962128,2448891
1059581,3045167,2448891
1150356,3135942,2448931
1247313,3232899,2448931
1342003,3327588,2448931
1440651,3426236,2448975
1547672,3533258,2448975
1634969,3620555,2448975
1731840,3717426,2448975
1802589,3788175,2473571
1874020,3859606,2545002
1973098,3958684,2553698
2090969,4024385,2553780
2231719,4024385,2553780
2313408,4080287,2609542
2389485,4156364,2685619
2462362,4229241,2758497
2552154,4238374,2848289
2616382,4276220,2950312
2616382,4376406,3050498
2616382,4486943,3161035
2616382,4593406,3267499
2616382,4692112,3366204
2616428,4799075,3473168
2635156,4870888,3563708
2719558,4870888,3648111
2817765,4870931,3746318
2906540,4871007,3835092
2997092,4871007,3925645
3023958,4966960,4037687
3024017,5072995,4143721
3024017,5183614,4254341
3078579,5265422,4336149
3150110,5336953,4407680
3220611,5407455,4478182
3230832,5417676,4601106
3259256,5446099,4695033
3357095,5543939,4695033
3449454,5636297,4695033
3553533,5740376,4695033
3645711,5832554,4695033
3740591,5927434,4695033
3835311,6022154,4695033
3919099,6105942,4695033
4012960,6199804,4695033
4097997,6284841,4695038
4196998,6383841,4695038
4279675,6466518,4695083
4376715,6563558,4695083
4466096,6652940,4695083
4558587,6745431,4695129
4652252,6839095,4695129
4750191,6937034,4695129
4835374,7022217,4695212
4913528,7070982,4724659
5008458,7070982,4819588
5113518,7070982,4924649
5210607,7070982,5021738
5317886,7070982,5129017
5420506,7070982,5231636
5481872,7112166,5334186
5481872,7222789,5444808
5481872,7329455,5551474
5509133,7429045,5651065
5582710,7502623,5724642
5653775,7573687,5733870
5715419,7678674,5777212
5715419,7780712,5879251
5773191,7851008,5949546
5852094,7929911,6028450
5925690,8003507,6102045
6022674,8100490,6112622
6117525,8195342,6112622
6210577,8288394,6112622
6285260,8363077,6176626
6355708,8433525,6247073
6428570,8506387,6319935
6514921,8592738,6329957
6565552,8676655,6363290
6565552,8787352,6473988
6627735,8865154,6551789
6702777,8940195,6626831
6775429,9012848,6699483
6785165,9022525,6758878
6785165,9022525,6879083
6785165,9022525,7012470
6854275,9091670,7087195
6940604,9177999,7173524
7028360,9265756,7261281
7125496,9362892,7272601
7229967,9467362,7272601
7328792,9566187,7272601
7424121,9661516,7272601
7516415,9753810,7272601
7613497,9850892,7272601
7717965,9955361,7272640
7812982,10050378,7272640
7913473,10150868,7272640
8005508,10242903,7272640
8083290,10320685,7299067
8150708,10388104,7366485
8245696,10483091,7376610
8341092,10578487,7376610
8436603,10673999,7376610
8526537,10763932,7450770
8613018,10850414,7537252
8701311,10938707,7625544
8794524,11031920,7637109
8897514,11093707,7678311
8986046,11093707,7766843
9086707,11093707,7867504
9172010,11117918,7952807
9238546,11184454,8019344
9330019,11275926,8026765
9436303,11382211,8026765
9527252,11473159,8026765
9635699,11581606,8026765
9711557,11657465,8050124
9784095,11730003,8122662
9792265,11836221,8228879
9792265,11949355,8342013
9792265,12047054,8439712
9792265,12154342,8547000
9792297,12254413,8647071
9792297,12368848,8761507
9792400,12468383,8861041
9826096,12572061,8931226
9916366,12662332,8931226
9998478,12744444,8931270
10092560,12838526,8957513
10168634,12914600,9033587
10249343,12995308,9043430
10340765,13086730,9043430
10431750,13177715,9043430
10522164,13268130,9043430
10611019,13356984,9067753
10685352,13431317,9142086
10695501,13546777,9152235
10695533,13648412,9189562
10695533,13759290,9300439
10695533,13866324,9407474
10723464,13957639,9498788
10796849,14031023,9572173
10806183,14137702,9678851
10806189,14242994,9784144
10806189,14344731,9885880
10871184,14359276,9965421
10962423,14359276,10056660
11048056,14359276,10142292
11148812,14359276,10243048
11215336,14395991,10346286
11215336,14498927,10449223
11215336,14602879,10553175
11236438,14689909,10640204
11311067,14764538,10714834
11320749,14864083,10814379
11358052,14935077,10922676
11452692,14935077,11017315
11549106,14935077,11113730
11636797,14960087,11201421
11706676,15029966,11271299
11796695,15119985,11281246
11838825,15202175,11321307
11838825,15310274,11429406
11904265,15390281,11509412
11957598,15443614,11562746
12023007,15509023,11628155
12029254,15607390,11726522
12029254,15709510,11828641
12029254,15814313,11933445
12106318,15903417,11945617
12189415,15986514,11945617
12293891,16090990,11945617
12392882,16189981,11945617
12488208,16285307,11945688
12594482,16391582,11945688
12697117,16494216,11945688
12790754,16587854,11945688
12893011,16690111,11945688
12983242,16780341,11945688
13074318,16871417,11945688
13172098,16969198,11945688
13270745,17067844,11945688
13366012,17163112,11945688
13448531,17245631,11945688
13543915,17341015,11945688
13631357,17428456,11945688
13726240,17523339,11945688
13832047,17629147,11945688
13939663,17736762,11945688
14035155,17832255,11945688
14133169,17930269,11945688
14237237,18034337,11945688
14336569,18133668,11945688
14427858,18224957,11945688
14518275,18315375,11945688
14611289,18408388,11945688
14709839,18506939,11945688
14812553,18609652,11945688
14905196,18702296,11945688
14996664,18793763,11945688
15091949,18889049,11945688
15187607,18984706,11945688
15282917,19080017,11945688
15395003,19141902,11945688
15518778,19141902,11945688
15630712,19141958,11945688
15766709,19141958,11945688
15890227,19141958,11945688
15983326,19224355,11945739
16080005,19321035,11945739
16168235,19409265,11945739
16267440,19508469,11945739
16357646,19598675,11945739
16452724,19693754,11945739
16463469,19795894,12037161
16463469,19907704,12148972
16463469,20020190,12261457
16463469,20125390,12366658
16488904,20210475,12451743
16558207,20279779,12521047
16631333,20352905,12594173
16702286,20423858,12665125
16778008,20499579,12740847
16849065,20570637,12811905
16920681,20642253,12883520
16990764,20712336,12953604
17059469,20781040,13022308
17133024,20854596,13095863
17207208,20928780,13170047
17277155,20998727,13239995
17350035,21071607,13312875
17421043,21142615,13383882
17493008,21214579,13455847
17568714,21290285,13531553
17638850,21360421,13601689
17710538,21432110,13673377
17783407,21504978,13746246
17860448,21582020,13823287
17936263,21657834,13899102
18006790,21728362,13969629
18074615,21796186,14037454
18141625,21863197,14104464
18212238,21933809,14175077
18283048,22004620,14245888
18355656,22077228,14318496
18432063,22153634,14394902
18506108,22227679,14468947
18575908,22297479,14538747
18647004,22368576,14609844
18719353,22440925,14682192
18792491,22514063,14755330
18864300,22585871,14827139
18936587,22658158,14899426
19009588,22731160,14972427
19077711,22799283,15040550
19147379,22868951,15110219
19220431,22942003,15183271
19289796,23011368,15252635
19360305,23081877,15323144
19435142,23156714,15397981
19508479,23230051,15471318
19580641,23302213,15543480
19649129,23370701,15611968
19723888,23445460,15686728
19796873,23518444,15759712
19869938,23591509,15832777
19943834,23665406,15906674
20014332,23735903,15977171
20082420,23803991,16045259
20156845,23878416,16119684
20224565,23946137,16187404
20297740,24019311,16260579
20366351,24087922,16329190
20441595,24163166,16404434
20512274,24233845,16475113
20580389,24301961,16543228
20651487,24373059,16614326
20721672,24443244,16684511
20792618,24514189,16755457
20864352,24585924,16827192
20929932,24651504,16892771
20996080,24717652,16958920
