sum_response_time,number_of_received_responses,number_of_sent_requests
7049,494,495
13756,955,958
17380,1215,1220
21009,1468,1475
25163,1763,1772
29022,2056,2067
35563,2535,2547
39796,2839,2853
46747,3335,3350
53497,3837,3853
57211,4127,4144
59109,4252,4272
64646,4641,4663
71580,5140,5163
77102,5521,5545
79670,5704,5730
81276,5814,5843
86636,6185,6216
92477,6619,6651
95371,6832,6866
98019,7021,7058
101756,7287,7326
103427,7405,7446
107034,7663,7706
109086,7815,7861
110295,7901,7950
117067,8407,8457
121014,8714,8766
124671,8983,9037
130451,9417,9472
135157,9749,9806
139079,10027,10086
145984,10517,10577
155975,11199,11259
162969,11672,11733
169819,12154,12216
179044,12793,12855
180472,12892,12957
187327,13371,13437
197278,14075,14141
200925,14321,14389
207838,14800,14868
214215,15246,15316
218085,15518,15590
222181,15810,15883
228946,16281,16356
235632,16771,16847
239087,17030,17108
240324,17116,17197
244211,17405,17488
248131,17701,17786
255032,18210,18296
261960,18719,18806
267269,19117,19205
269577,19281,19371
273869,19584,19676
280083,20034,20128
284906,20369,20464
294062,21015,21111
302171,21623,21719
307794,22038,22136
311507,22303,22403
318421,22793,22894
328431,23491,23592
338429,24182,24283
344873,24653,24755
346468,24762,24866
351507,25119,25225
354555,25335,25443
360224,25742,25852
363750,25985,26097
368503,26319,26432
371079,26505,26620
377567,26959,27076
378591,27034,27153
381992,27277,27399
386086,27555,27679
389986,27834,27959
396943,28313,28440
403789,28796,28924
407111,29031,29161
409382,29194,29326
411958,29374,29509
414028,29519,29656
418700,29837,29976
420041,29935,30077
423877,30197,30341
427809,30482,30628
431800,30771,30918
441706,31481,31629
446942,31874,32023
452414,32269,32420
462418,33011,33162
469300,33501,33652
474678,33879,34032
476687,34030,34186
486313,34739,34895
490455,35054,35212
494466,35331,35490
501103,35802,35963
507962,36268,36430
513860,36687,36850
517148,36917,37082
522019,37265,37432
527789,37678,37846
532558,37990,38160
542559,38701,38871
546367,38965,39137
553185,39467,39640
563187,40209,40382
573183,40909,41082
579864,41369,41543
587068,41863,42038
588701,41989,42166
591777,42215,42394
596680,42583,42764
601714,43008,43191
606202,43383,43568
609969,43676,43863
619973,44368,44555
626952,44859,45047
631540,45166,45355
637252,45546,45737
640854,45798,45991
650871,46508,46701
654567,46764,46959
661484,47252,47448
665081,47517,47715
670050,47868,48067
675584,48265,48466
681246,48659,48861
685674,48973,49177
691827,49388,49593
693787,49528,49736
701520,50176,50384
704494,50427,50637
711313,50979,51191
713426,51127,51341
716892,51388,51604
721524,51716,51934
726551,52061,52281
730432,52335,52557
734241,52599,52823
741222,53098,53323
746252,53449,53675
755009,54120,54347
761857,54605,54833
764956,54819,55049
772735,55369,55600
774683,55507,55740
780471,55942,56177
787445,56450,56686
794791,56972,57208
797916,57210,57449
805027,57742,57982
811942,58245,58486
812560,58287,58531
819792,58819,59063
826472,59282,59528
833454,59777,60024
840249,60268,60516
845153,60611,60860
851175,61056,61307
856999,61458,61710
865040,62007,62260
871408,62448,62702
874921,62694,62950
877490,62890,63148
883617,63373,63633
890522,63889,64150
894908,64222,64484
904343,64901,65164
909535,65268,65532
912550,65487,65753
919024,65965,66233
924197,66351,66620
927489,66587,66858
928123,66626,66900
930381,66785,67062
932091,66908,67187
937840,67329,67610
941568,67628,67911
945734,67931,68215
949560,68205,68491
955750,68645,68933
958727,68862,69152
965032,69317,69608
973439,69927,70219
980373,70400,70693
987217,70878,71172
989915,71064,71360
993950,71351,71649
1001929,71931,72230
1008905,72446,72746
1015669,72935,73236
1019354,73189,73492
1026108,73685,73989
1032993,74203,74508
1039173,74682,74988
1043730,75023,75331
1050078,75465,75774
1054175,75750,76061
1064191,76439,76750
1070950,76918,77230
1077731,77396,77709
1084481,77874,78188
1091255,78344,78659
1098235,78819,79135
1102079,79078,79396
1109067,79581,79900
1113749,79918,80238
1121474,80438,80759
1126564,80796,81119
1129973,81038,81363
1134115,81328,81655
1137772,81574,81903
1142063,81871,82201
1145555,82123,82455
1155486,82832,83165
1161258,83244,83578
1166408,83610,83946
1172465,84047,84384
1176870,84361,84700
1178115,84448,84789
1184589,84922,85265
1187210,85106,85451
1190692,85357,85704
1195573,85700,86049
1202244,86158,86508
1206151,86422,86774
1209260,86642,86996
1214314,87007,87363
1219303,87355,87712
1220733,87443,87803
1221838,87518,87881
1226518,87840,88205
1230273,88108,88475
1237027,88574,88942
1244014,89051,89420
1250950,89540,89910
1254611,89802,90174
1264215,90477,90849
1265216,90543,90917
1272007,91034,91410
1282014,91765,92141
1288967,92282,92659
1298970,93053,93430
1302816,93348,93726
1312712,94074,94453
1316414,94339,94720
1321588,94702,95084
1323683,94845,95230
1330444,95326,95712
1337418,95817,96204
1342822,96200,96588
